entry,year,genre,source,a,b,c,text,
519,1848,NF,PersonalNarrative,A,B,C,  at length enjoyed the refreshing breeze in the beautiful region of the arborescent erica and fern; and we were enveloped in a thick bed of clouds stationary at six hundred,
834,1848,NF,PracticalTreatise,A,B,C,"  where rising hillocks run In length, and open to the southern sun; Where fern succeeds, ungrateful to the plough. That gentle ground to generous grapes allow.",
798,1850,FIC,NewPoems,A,B,C,"  elder, and sweet-brier invited The insect to sip from their new-opened bloom; The fern, fir, and cedar their odors united, And formed a sweet incense the",
56,1851,MAG,AmWhigRev,A,B,C,"  log. The trail was blind. Longmire scented it through thickets of salal, fern, and underbrush, stumbling over roots, vines, and hollows hidden in the",
613,1851,FIC,FrankFanny,A,B,C,"  of honey-suckles, too, scattered through the woods, and long, pale green fern leaves, fit for a fairy to sway to and fro upon; and there",
133,1853,FIC,LittleFernsFor,A,B,C,"  Advocate. PUBLISHED BY MILLER, ORTON & MULLIGAN, Auburn and Buffalo. FANNY FERN'S NEW BOOK. Fern Leaves FROM FANNY'S PORTFOLIO. One elegant 12mo volume",
302,1853,MAG,Harpers,A,B,C,"  . CRUSOE'S CASTLE. // toads, and different sorts of vermin. Rank fern hung upon the sides; overhead was dripping with a cold and deathlike sweat,",
406,1853,FIC,LittleFernsFor,A,B,C,"  , ORTON & MULLIGAN, Auburn and Buffalo. FANNY FERN'S NEW BOOK. Fern Leaves FROM FANNY'S PORTFOLIO. One elegant 12mo volume. With Eight Illustrations. 400",
836,1853,FIC,LittleFernsFor,A,B,C,  satisfactory than the little miniature one that caused Gertrude so much trouble and unhappiness. FERN MUSINGS. Morning again! and New-York is beginning to stir. Lazy creatures!,
33,1854,FIC,PersonsPictures,A,B,C,"  straggling underwood, scattered more or less sparsely over barrens overspread with dwarf heather, fern, and broom, such as offered no impediment to the progress of an array",
557,1854,FIC,LifeSayingsMrs,A,B,C,"  in the old black bureau-desk in the corner. And carefully the sprig of sweet fern is renewed above the picture, every year, when the berries lure Ike to",
591,1854,FIC,PoeticalWorks,A,B,C,"  pursuing foes, Whose rapid volleys, in return, Wounded alone the brush and fern. XXV. Soon did the scene of conflict change From open-wood to deeper shade",
822,1854,FIC,LifeSayingsMrs,A,B,C,"  lure Ike to the woods, and he comes back laden with pine, and fern, and hemlock, to garnish the fire-place and mantel-piece withal. That handkerchief has",
843,1854,FIC,LifeSayingsMrs,A,B,C,"  wall, and around the dark profile, and among the leaves of the sweet fern, like yellow butterflies or fugitive chips of new June butter. The alarm for",
952,1854,FIC,RhymesWithReason,A,B,C,"  birch's emerald screen, And the alder's cheerful green, And the sweet fern in between, Where the sun's bright glow, I ween, Ne'er hath",
190,1855,FIC,LiteraryMartyrdom,A,B,C,  gold filigree. There is a three-line gold frame around the edges with an ornate fern design in each corner. At the center of the cover is a gold image,
304,1855,FIC,LiteraryMartyrdom,A,B,C,  gold filigree. There is a three-line gold frame around the edges with an ornate fern design in each corner. At the center of the cover is a gold image,
441,1855,FIC,ShroudedPortrait,A,B,C,  Front Cover. The Cover is dark blue marbled with black. There are gilded fern swirls on each corner and an image of the Knickerbocker mansion in the center.,
513,1855,FIC,ShroudedPortrait,A,B,C,  Back Cover. The Cover is dark blue marbled with black. There are gilded fern swirls on each corner and an image of the Knickerbocker mansion in the center.,
594,1855,NF,WondersGeology,A,B,C,"  in iron-stone nodules might occasionally be separated in the form of carbonaceous flint, placed fern leaves in clay, dried them in the sun or air, exposed them to",
253,1856,FIC,LostHunter,A,B,C,"  that brought with itself a woodland-scent, compounded of the fragrance of sassafras, and fern, and sweet-briar, and mosses, and unknown plants. Then, again the",
387,1856,NF,EnglishwomanIn,A,B,C,"  , ate as many grains as we could clean from the husks, and some fern, which we found very bitter. We looked very much like a group of",
525,1857,NF,MinnesotaDacotah,A,B,C,"  4. Yank-toan-an, or Fern leaves 5. Yank-toan, or descended from the Fern leaves. 6. Ti-toan, or Braggers. 7. Wahkpako-toan, or the people",
416,1859,FIC,AutocratBreakfast,A,B,C,"  enough by itself. A rose will not flower in the dark, and a fern will not flower anywhere. What do I think is the true sunshine that opens",
764,1859,NF,Vagabond,A,B,C,"  painters than abso lute representations of old buildings, or copies of oak trees and fern leaves, Pre-Raphaelitism is very well; but if artists are to awake emotions,",
121,1860,FIC,SirRohansGhost,A,B,C,  the metal branched off and wandered along with all the delicate arborescent intricacy of a fern or a sea-moss. The clash and clatter as of Thor with a thousand hammers,
330,1860,FIC,CousinMaudRosamond,A,B,C,"  , BARKER &; CO., Publishers, 25 Park Row, New York. FANNY FERN AND THE LITTLE FOLKS. Little Ferns for Fanny's Little Friends. BY THE",
457,1860,FIC,CousinMaudRosamond,A,B,C,"  FOLKS. Little Ferns for Fanny's Little Friends. BY THE AUTHOR OF "" FERN LEAVES. "" One Volume, 298 pp., 12mo., 6 Illustrations. Price",
665,1860,FIC,ActressInHighLife,A,B,C,"  spot, tempted them to make here their noonday halt. Seating herself on the fern and moss at the foot of an old mulberry-tree that overhung the little stream,",
601,1861,FIC,ElsieVenner,A,B,C,"  , all would be still at its springy bottom, save that perhaps a single fern would wave slowly backward and forward like a sabre with a twist as of a",
324,1862,MAG,NorthAmRev,A,B,C,"  their own acanthus and honeysuckle. The Gothic workers selected the oak, ivy, fern, and even the common dock and parsley. It has been well argued that",
18,1863,FIC,LifeInOpenAirOther,A,B,C,"  -- another denser maze, wellnigh impenetrable, in which we may discern the tree fern, now familiar, and may feel that our previous studies have taught us to",
74,1863,FIC,LifeInOpenAirOther,A,B,C,"  shower to the bright spray below. Just where the bosk thickens, a tree fern stands like a plume, waving us inward. Lesser ferns carpet the vista,",
255,1863,MAG,Atlantic,A,B,C,"  side dust has been moistened into nutritious soil for it; a small bunch of fern grows in another crevice; a deep, soft, verdant moss spreads itself along",
390,1863,FIC,LifeInOpenAirOther,A,B,C,"  leafage. No plant in the upland tropical woods is more elegant than the tree fern. It surpasses even the palm in refinement of foliage, and its plumes become",
990,1863,NF,LifeChopin,A,B,C,  of the fragile butterfly. She had traced the symmetrical and marvellous network which the fern extends as a canopy over the wood strawberry; she had listened to the murmuring,
423,1864,FIC,SevenStoriesWith,A,B,C,"  are heavy beechen shoes); and at last a larger cottage, with a fern bough over the door, and a floor covered with baked tiles, glossed over",
435,1864,MAG,NorthAmRev,A,B,C,"  's famous figure of the grasshoppers. "" Because half a dozen grasshoppers under a fern make the field ring with their importunate chink, whilst thousands of great cattle,",
648,1865,FIC,PaulPrescottsCharge,A,B,C,"  name? "" "" Paul Prescott. "" "" P. P. Any relation to Fanny Fern? "" "" No, sir, "" said Paul, rather astonished. """,
905,1866,FIC,GoodCompanyEvery,A,B,C,"  , "" Little Bell! "" piped he. Little Bell sat down amid the fern: "" Squirrel, Squirrel! to your task return; Bring me nuts!",
