entry,year,genre,source,a,b,c,text
40,1845,FIC,WesternClearings,A,B,C,"  This must account for Clary's not being terrified, and for the shrewd old parrot's staring so knowingly. "" I will wait no longer, "" said the"
41,1921,FIC,CurlytopsTheir,A,B,C,"  must go to bed! "" called Mrs. Martin. "" Mr. Nip, the parrot, has gone to sleep long ago, with his head under his wing,"
42,1981,FIC,WorldWithoutEnd,A,B,C,"  , dogs barking somewhere next door. Sophie was wearing a turban. A large parrot hovered over Edmund, staring out of a mean yellow eye. This was New"
43,1981,FIC,FollowRiver,A,B,C,"  monk's face was smiling, the eyes were as bright and unblinking as a parrot's. He was a disconcerting figure. "" I think, "" said Prince"
44,2006,NEWS,Chicago,A,B,C,"  . Each Friday, in a funky west suburban Riverside coffee shop called the Blue Parrot, she meets with this informal group, most of whom are in their 40s"
45,1999,NF,LetsGetLost,A,B,C,"  the whole tree would fall over into your lap. The restaurant also features a parrot and monkey zoo, and while we were drinking coffee, a very Inca-looking woman"
46,1922,FIC,VoyagesDrDolittle,A,B,C,"  Now -- this moment -- is the time for you to go. "" The truth of the old parrot's words seemed to be striking home; for the Doctor stood silent a minute"
47,2008,NF,AlexAmpMeHowScientist,A,B,C,"  I don't have a working TV.) "" Sad news: a thirty-year-old parrot by the name of Alex, who had been used by researchers at Harvard University"
48,1947,MAG,NewYorker,A,B,C,"  and in eruption, fire crackling, a waterfall fall -- ing, a wild parrot screaming, a sword hitting a mask, and church bells. When all the"
49,1957,FIC,WapshotChronicle,A,B,C,"  a bit of play, the sick had their ears and bellies rubbed, the parrot his head scratched, the lot of them, pampered, petted and spoiled until"
50,1964,FIC,Man,A,B,C,"  oratory, Miller was given to attributing his jokes to his father's decrepit green parrot, or to revising suitable quotations from the Old Testament. He would not forget"
51,1931,FIC,ShadowsOnRock,A,B,C,"  . Her mother, she whispered to Jacques, had often told her about a parrot kept in one of the great houses at home, which saw a servant steal"
52,1999,FIC,FelineFelon,A,B,C,"  bringing our dinner. "" "" Awk! Polly want a cracker! "" the parrot clucked. "" We'll escape as soon as possible. Right, Salem?"
53,1870,NF,VikramVampireClassic,A,B,C,"  proper person, "" I have given you Madanmanjari the jay's and Churaman the parrot's definitions of the tender passion, or rather their descriptions of its effects."
54,1951,FIC,ProudNewFlags,A,B,C,"  white-clad individuals was seen to be waiting. "" Sure wish I could speak this parrot talk, "" piped little Midshipman Thomas, sent to accompany Lieutenant Seymour. """
55,1995,FIC,ContempFic,A,B,C,"  with joy. He nearly chokes the first time he sees a fish with a parrot's beak, blue and green; it swims away in such a fright that"
56,1958,MAG,SatEvePost,A,B,C,"  causing another disease. Like many other microbe hunters, Berry became accidentally infected with parrot fever while working with this virus, He suffered a severe pneumonia that kit him"
57,1925,MAG,Atlantic,A,B,C,"  ; the painted girl with roving eyes, who chewed gum without pause and whose parrot phrase,' Chance for advancement,' inevitably met my inquiry, Why did"
58,1998,FIC,Analog,A,B,C,"  really different!. # "" Nobody Cares About Your Teenage Angst, "" the parrot said. "" Yeah, I think that's i> probably one of the best"
59,1876,FIC,MaeMadden,A,B,C,"  stones ready. Mrs. Jerrold, pray begin; let us put down this young parrot with her' lusty, live wine.' "" "" Her? "" exclaimed"
60,1947,FIC,WaywardBus,A,B,C,"  and heard and smelled Mexico, the chattering voices of the market, the squawking parrot in the garden, the quarreling pigs in the street, the flowers and fish"
61,1993,FIC,ComingUpDownHome,A,B,C,"  the door to leave. Just as we were about to close it, the parrot said, "" Nigger! "" We looked at each other, amazed and delighted"
62,1890,NEWS,NYT-Ed,A,B,C,"  an expression of the imperial ignorance and solicitude. As in the legend of the parrot and the conjurer, the Emperor wonders "" what he is going to do next"
