entry,year,genre,source,a,b,c,text
40,1922,NF,MalayArchipelago,A,B,C,"  is from thirty to fifty miles wide; and five hoofed animals, including the Tapir, two species of rhinoceros, and an elephant. Besides these there are thirteen"
41,1922,NF,MalayArchipelago,A,B,C,"  than it is to Java. The great man-like apes, the elephant, the tapir, and the Malay bear, are all common to the two former countries,"
42,1922,NF,ArcheologicalInvestigations,A,B,C,"  all belong to modern species except one tooth, which is that of the cave tapir, and (possibly) the jaw of an otter. # BLEDSOE COUNTY COLLEGE"
43,1925,MAG,Time,A,B,C,"  meats! What were they? Before the white men lay crackly tidbits of wild tapir (pig). The coppery Indian guides gorged on chunks of monkey carcasses,"
44,1925,MAG,Time,A,B,C,"  . "" (P. 13, col. 3.) # Crackly tidbits of wild tapir (pig). (P. 18, col. 1.) # The only"
45,1926,NEWS,NYT-Reg,A,B,C,"  skulls of the Stegodon, an animal which resembled the mammoth; of a giant tapir and a rhinoceros; a complete fossilized skeleton of a guar, or East Indian"
46,1928,MAG,Time,A,B,C,"  , but not unique, find was the skull of a titanothere, an archaic tapir. The skull is saddle shaped. The nose bone stands straight up and reaches"
47,1928,NF,LanguageItsNature,A,B,C,"  have taken the name of jasmine from Persian, chimpanzee from some African, and tapir from some Brazilian language. It is characteristic of all words of this kind that"
48,1933,MAG,NatGeog,A,B,C,"  dart, and below, in the foam, whirls the body of an unfortunate tapir which ventured too near the brink. We pass fire-scarred clearings on the face of"
49,1933,MAG,NatGeog,A,B,C,"  a black head, black head tufts, and a yellow and black beak. Tapir, deer, carpincho, otter, and coypu abound in the marshy regions."
50,1937,NF,FoodsAmericaGave,A,B,C,"  and guanacos of the Andean regions of South America, the big cabybaras, the tapir, the prong-horned // antelope, the big-horned sheep and mountain goat, the bison"
51,1937,NF,FoodsAmericaGave,A,B,C,"  , while opossoms are not confined to America, and there is a species of tapir in Malaya. But there are others, such as the raccoon, the prong-horn"
52,1947,FIC,WaywardBus,A,B,C,  deeply channeled upper lip was raised over his teeth like the little trunk of a tapir. The point over his middle teeth seemed to be almost prehensile. His eyes
53,1948,FIC,StormEcho,A,B,C,"  an old woman's. Moola Mutandi entered and developed a snout, like a tapir's. Let us go, "" he pleaded gently, "" through the savannahs"
54,1956,MAG,SportsIllustrated,A,B,C,"  skeletons of nine mammoths, a prehistoric bison, a prehistoric horse and a prehistoric tapir. They also found interspersed among the bones 13 stone spear heads, eight butchering"
55,1959,MAG,NatGeog,A,B,C,"  . My friend Kratchet, in whose house I shall live, has shot a tapir. Others bring in anteaters and monkeys. Villagers Share and Share Alike The animals"
56,1965,FIC,JournalFromEllipsia,A,B,C,"  up forever all hope of the dinosauric archways, of that affinity of elephant and tapir, the brontothere, whose sweet, paleolithic expression had for long intrigued me."
57,1966,MAG,Harpers,A,B,C,  saw creatures called Agouti that look like the offspring of an unfortunate cross between a tapir and a miniature poodle. I realized then the difficulties that a laboratory director faces
58,1967,FIC,EighthDay,A,B,C,"  it never stops raining -- in a thatched hut, holding an umbrella over her tapir stew; and of being in some diggings higher up than this, where you"
59,1978,NF,UnderstandingLaughter,A,B,C,  not secure a mate; so does the cavewife who can not cook filet of tapir without burning it; and ditto for the male suitor spurned by all eligible maids
60,1983,NF,LatelyTortured,A,B,C,"  American legend supplies significant detail. "" The Arawak of Guyana call the Galaxy the Tapir's Way.' This is confirmed in a tale of the Chirignano and some"
61,1983,NF,LatelyTortured,A,B,C,"  of the Tupi-Guarani of South America. "" According to Cuna tradition, "" the Tapir chopped down the Saltwater Tree', at the roots of which is God's"
62,1985,FIC,Harpers,A,B,C,  has suffered some sort of accident. Harold's nose makes him look like a tapir. I work for him because he pays. But there's a limit to
63,1985,FIC,Harpers,A,B,C,"  he may have a heart attack. "" You look a good deal like a tapir with that nose, "" I say. Harold is still inarticulate. "" A"
64,1985,FIC,Harpers,A,B,C,"  with that nose, "" I say. Harold is still inarticulate. "" A tapir is a South American pig, "" I explain. "" It has a nose"
65,1985,FIC,Harpers,A,B,C,"  what I'm talking about. That's what your nose looks like, a tapir's nose. "" That was the end of my employment with Harold, and"
66,1987,FIC,Mov:Predator,A,B,C,"  GROWING LOUDER. Blain's finger moves closer to the trigger. Suddenly a small TAPIR bursts through the leaves, startling Blain. He relaxes momentarily as he watches the"
67,1997,FIC,OrdinarySeaman,A,B,C,"  , but he'd only fired it in "" combat "" once, when a tapir bursting from riverbank foliage startled him... missed it, pues. "" I was"
