entry,year,genre,source,a,b,c,text
41,1870,NF,VikramVampireClassic,A,B,C,"  place and style of his suicide. But the shaft of FateFN#111 strikes down the vulture sailing above the clouds, and follows the worm into the bowels of the earth"
42,1810,FIC,GordianKnot,A,B,C,"  The rude wolf, That feeds on slaughter, fondles her week young; The vulture that the harmless dove destroys, Dips not her beak in blood, but for"
43,1855,MAG,Harpers,A,B,C,"  yell as if the fiends were unloosed; at daybreak, the eagle and the vulture darken the air over his head, and gorge their unholy appetites in the victims"
44,1849,FIC,Merry-mountARomance,A,B,C,"  the air, and looked with an expression of cowardly ferocity, worthy of a vulture, disturbed when feeding upon a carcass, at the angry countenance of Maudsley."
45,1977,MAG,SatEvePost,A,B,C,"  fine red linen and the pharaoh's crown, the famed twin symbol of the vulture and cobra, signifying the upper and lower kingdoms, and the royal hands and"
46,1993,MAG,HarpersMag,A,B,C,"  the day before, everyone was cheerful. The track continued west. A cinereous vulture crossed the sky, and a redfooted falcon plucked a vole out of the grass"
47,1854,FIC,Eventide ASeries,A,B,C,  the breath of love and peace abroad on the air to-night? Dared a vile vulture of sin to brush with polluting wing over the vines and flowers of these odor-breathing
48,1873,FIC,Infelicia,A,B,C,"  arrows of Love's latest peril? Didst thou not see a black, hungry vulture wheeling down low to the white-bellied coil where thy Heaven had once based itself?"
49,1856,FIC,HirelingSlaveChicora,A,B,C,"  or oak their scalps are hung, And scornfully, in places drear, To vulture flocks their bodies flung. In honor to the Indian dead, Now to the"
50,1827,FIC,BuccaneersARomance,A,B,C,  his ruthless appetite on a drop of the gore; or the fierce and ravenous vulture to yield a morsel of the flesh that its beak hath stripped from the carcass
51,1887,MAG,NorthAmRev,A,B,C,"  , he is "" lashed to the rocks of fate) "" with the insatiate vulture tearing at his heart In reading your glittering phrases, I seem to be losing"
52,1853,FIC,ChevaliersFrance,A,B,C,"  : "" Come forth, thou noble bird -- nor let the base and carrion vulture put on thy semblance! Monarch of France! I bid thee hail. I"
53,1840,NF,YoungMaiden,A,B,C,"  into those equally ruinous? Will she calmly commit herself to the talons of the vulture, in the hope of taming his ferocity, and changing entirely his habits?"
54,1906,NEWS,NYT-Reg,A,B,C,"  publication vulgar to refined tastes. "" But he is charged with living like a vulture on the sins and sorrows of others; that is thrown on the defense to"
55,1856,FIC,EutawASequelThe,A,B,C,"  , as I comprehend the snake that hisses, the wolf that howls, the vulture that shrieks in air! I comprehend, but I fear you not. I"
56,1967,MAG,Time,A,B,C,  parallels to modern quandaries: # I see the hands beckon each dawn to the vulture and the hawk
57,2000,MAG,Smithsonian,A,B,C,"  tinamou (strange chickenlike creatures of the jungle), great curassow, a king vulture, and a royal flycatcher with an orange crest like nothing I'd ever seen"
58,1967,MAG,Time,A,B,C,"  other. After the pair finally had cracked and eaten the eggs, an Egyptian vulture that was lower in the social pecking order approached one of the empty shells and"
59,1920,FIC,DrumsJeopardy,A,B,C,"  a canary. "" "" Whereas you're an eagle. "" "" Or a vulture. "" Cutty chew up a chair. "" Frankly, I believe a good"
60,1854,FIC,ThisThatOther,A,B,C,"  be left for hostile feet to spurn, hostile cavalry to trample, and the vulture to swoop upon at last! It makes one's blood run cold to think"
61,1965,FIC,PlayInFieldsLord,A,B,C,"  toward the window, where he fell across the sill. The dog and the vulture were gone. The light was tightening in the way it always | did before"
62,1986,FIC,Mov:Salvador,A,B,C,"  Past a road sign saying SANTA ANA 20 KM. SAN SALVADOR 100 KM. A Vulture is sitting on it. Doc, who is juggling the radio antenna to get"
63,1972,FIC,Clone,A,B,C,"  By now, I assume, we have their precise co-ordinates. We also have Vulture intercontinental thermo-nuclear missiles in Malta and Cyprus. Do I make myself clear, gentlemen"
64,1921,NF,WashingtonHisComrades,A,B,C,"  ships in New York and all was ready. On the 20th of September the Vulture, sloop of war, sailed up the Hudson from New York and anchored at"
65,1907,FIC,TrimmedLampOther,A,B,C,  . But the people of Chrystie street were better ornithologists. They called it a vulture. A little girl of twelve came up timidly to the man reading and resting
66,1819,FIC,BattleNiagara,A,B,C,"  all light, like a wind-wreathed crown -- While the tame bird flew to the vulture's nest, And the vulture forbore in that hour to molest -- The mountain"
67,1965,FIC,PlayInFieldsLord,A,B,C,"  The dark vapors forsook the trees and, drifting, touched the plane; a vulture tilted outward and away. Now the airplane plummeted and slid down the east slope"
68,1935,FIC,Mov:NightAtOperaA,A,B,C,  following -   WOMAN sings o.s Stride la vampa.... (The vulture cries...)   GOTTLIEB (over and above singing) Did a
69,1955,FIC,FaithfulAreWounds,A,B,C,"  of fleeing with Lo to Parkington, or even back to Pisky, lest the vulture snatch her precious lamb. Other tatters and shreds (never had I thought I"
70,1862,FIC,TragedyErrors,A,B,C,"  ! Behold on every cliff the robber's nest, Whence in old time their vulture eyes peered down To mark where, borne on his benevolent tide, The laden"
71,1874,MAG,NewEngYaleRev,A,B,C,"  system "" - "" a cage of every unclean and hateful bird. "" The vulture, the night-owl, and the bat, are sitting in the branches of the"
72,1994,FIC,PlaceLearning,A,B,C,"  his shoulders right. They weren't hunched in the usual fierce upslant of a vulture. Instead, they sagged heavily downwards, as if his hands were newly made"
73,1960,FIC,ConstantImage,A,B,C,"  remembered every awful thing that ever happened and put it down. Jesus, a vulture is a lovely bird. He eats everything. Dick, isn't there some"
74,1834,FIC,Poems,A,B,C,"  battle was done, The mangled and slain in their misery lay, And the vulture was shrieking and watching his prey; But the heart's gush of sorrow,"
75,1888,FIC,Bonaventure,A,B,C,"  mate, no call of nestlings from the ruined nests. Except the hawk and vulture, the birds were gone. Untold thousands of dumb creatures had clung to life"
76,1879,FIC,Poems,A,B,C,"  , as when Prometheus bare From heaven the fiery dart, I saw the "" vulture passions "" tear The proud Caucasian heart, Footnote 1: 1Kb -- The war"
77,1930,NF,LandLion,A,B,C,"  at daylight and the jackals showed fight. But while the struggle continued, one vulture discovered the jackal's hidden store of meat and made off with it, so"
78,1861,MAG,Atlantic,A,B,C,"  for anything petty, mean, and bad. They fly upon it as a vulture on carrion. Their memory is of that cast, that you have only to"
79,1896,NF,MythsLegendsOur,A,B,C,"  dusky cheeks, her brows dark, her eyes glittering, she more recalled the vulture -- for she, too, loved the Shield; and she had now seen"
80,1847,FIC,LegendsMexico,A,B,C,"  , but merely a dark chaparral, a dead body, with a Jackal and Vulture as chief mourners. Pace your rounds brave sentinel, with your grey moustache and"
81,1845,FIC,ForestLeaves,A,B,C,"  is their home; No prowling foe can reach them here, No hawk or vulture come. But when their wings are plum'd, and strong, They'll"
82,1864,FIC,ArnoldAndreacute,A,B,C,"  Arnold Smith, what is that firing? SMITH. Joshua Smith At the "" Vulture, "" from the shore. ANDR. Major Andr But can they reach her"
83,1848,FIC,Aurelian,A,B,C,"  your peace will be made. Otherwise I fear this man-killer will, like some vulture, pounce upon you and tear you piecemeal. What, brother, have you"
84,1822,FIC,LoganAFamilyHistory,A,B,C,"  that contained the boy. Logan's was the disposition and appetite of the parent vulture, that perches above her young and flaps over them, while their clotted beaks"
85,1868,NF,MythsNewWorld,A,B,C,"  worshipped under the name Panes. Father Geronimo Boscana describes it as a species of vulture, and relates that one of them was immolated yearly, with solemn ceremony,"
86,1985,FIC,DavitasHarp,A,B,C,"  cormorant, gier eagle, and lapwing. But I knew hare and swine and vulture and owl. I read very carefully and slowly but didn't understand what cloven-footed"
87,1868,FIC,Wreck,A,B,C,"  body, and flies off with it.) All All as Johnny and the Vulture ascend, form PICTURE GRAND TABLEAUX! CURTAIN. Back matter The End."
88,1822,FIC,New-EnglandTale,A,B,C,"  "" "" You! yes, and she will heed you as much as the vulture does the whining of his prey. I tell you, I am desperate,"
89,1955,MAG,Time,A,B,C,"  East. # # The hero of The Spider's House is a dilettante culture vulture named John Stenham. In present-day French Morocco, he resents the growing web of"
90,1897,FIC,FrancesWaldeaux,A,B,C,"  Clara, "" as if I had put a dove into the claws of a vulture. "" "" Not at all, "" said Jean promptly. "" The little"
91,1898,NF,AgeFable,A,B,C,"  men. Jupiter had him chained to a rock on Mount Caucasus, where a vulture preyed on his liver, which was renewed as fast as devoured. This state"
92,1878,FIC,PrinceDeukalion,A,B,C,"  hollow dells, And dark with lifeless water lies the lake. There wheels a vulture, giving to the blue The shade or sparkle of his slanted wings, But"
93,2002,MAG,Time,A,B,C,"  companies is not necessarily a career-enhancing move. The distressed-debt market is a playground for vulture investors, a place to parlay others' misfortunes into personal wealth. How would"
94,1987,FIC,OutPhaze,A,B,C,"  , filthy creature, with a woman's head and bosom, and, a vulture's wings and tail and legs. The odor became stronger. "" And thou'rt"
95,1886,NF,Danger!ATrueHistory,A,B,C,"  than this fair, prepossessing woman, as she told how that sleepless and merciless vulture of remorse, aided by the machinations of a licensed fiend in human form,"
96,1981,NEWS,Boston,A,B,C,"  little to do with the fact that Fisk probably knows as much about the "" Vulture "" as he did. "" Fisk is a good low-ball hitter, "" said"
97,1893,FIC,Poems,A,B,C,"  the sky. I have watched them through the burning day, And driven the vulture and raven away; And the cormorant wheeled in circles round, Yet feared to"
98,2009,FIC,HeartCanyon,A,B,C,"  its rightful place on the boats. # High in the sky, a turkey vulture slowly circled, its white-tipped wings spread wide. The people on the motor rig"
99,1883,MAG,Atlantic,A,B,C,"  altogether better than the long drooping away by age without mentality or devotion? The vulture and crow would caw, caw, and, unconscious of any deformity in the"
100,1997,FIC,FantasySciFi,A,B,C,"  to see you in his office. "" It was Mitzi, a.k.a. the Velveteen Vulture. If there was bad news in the air, you'd hear a loud"
101,1968,FIC,Play:HeWantsShih!,A,B,C,  (Laughs.) The sounds I would make would be the screams of a vulture against her throat. Her mouth and legs... are open..
102,1847,FIC,LegendsMexico,A,B,C,"  again. Is it a jackal in search of a dead body, or a vulture impatient for the feast of the morrow? Still it moves on, ever keeping"
103,1873,FIC,FairGodTheLast,A,B,C,"  neighborhood. "" "" Or, "" ventured a third, "" how a ravenous vulture once descended from the hills, and carried off his pet rabbit. "" By"
104,1993,FIC,UglyWays,A,B,C,  easels. Arranged diagonally on the paper was the almost finished portrait of a turkey vulture. The bird was shown in profile from about mid-wing and up. The feathers
105,1993,FIC,ShadowBoxer,A,B,C,"  so Blood stepped fully inside. There was a crooked-arm fluorescent lamp poised like a vulture over the paper stacks on Banish's desk, and a telephone next to a"
106,1881,FIC,PoemsStories,A,B,C,"  the sky and land; The lean steeds snuff the desert wind; The watchful vulture soars behind, But nothing moves upon the plain; The keen eyes search the"
107,1864,FIC,ArnoldAndreacute,A,B,C,"  . Colonel Robinson, Major Andr, and Captain Sutherland, commander of the "" Vulture. "" ANDR. Major Andr You'll pardon me, Captain, for thinking"
108,1923,NF,scan,A,B,C,  . One of the great gods of Egypt was the sun. The hawk and vulture were also divine animals. A combination was made showing the disk of the sun
109,1864,FIC,LifeAdventures,A,B,C,  Mr. Griese was filled with disgust and loathing as he contemplated the speckled and miserable vulture who had just been addressing them. Such atrocious sentiments were insurrectionary. He moved
110,1980,FIC,RiddleyWalker,A,B,C,"  such a horror. Vernon would not have said he "" believed "" in the vulture, had he been asked, before the creature actually appeared in the walled garden"
111,1982,FIC,DifferentSeasons,A,B,C,"  , and Todd thought he had never looked so much like a vulture, a vulture in a bathrobe, a noisome beast of carrion. "" I hate you,"
112,1980,FIC,PrincessDaisy,A,B,C,"  and her worn jersey. Her hair, she imagined, must look like a vulture's nest. With luck, she judged, they might all be outside drinking"
113,1850,FIC,LorgnetteStudies,A,B,C,"  known from their crests, and all our brokers make their servingmen conspicuous by a vulture stamped upon their buttons. The Digg's livery, and the Mugg's coach"
114,1847,FIC,Arnold,A,B,C,"  to the window) Smith. Joshua Smith Here, behold they fire Upon the Vulture! And. Andre She seems envelop'd In a flame! they will destroy"
115,1921,NF,WashingtonHisComrades,A,B,C,"  anchored at Stony Point, a few miles below West Point. On board the Vulture was the British officer who was treating with Arnold and who now came to arrange"
116,1851,FIC,MobyDickWhale,A,B,C,  in thee; and he whose intense thinking thus makes him a Prometheus; a vulture feeds upon that heart for ever; that vulture the very creature he creates.
117,1830,FIC,Sertorius,A,B,C,"  PERPENNA. PERPENNA VENTO Why should they not, when unremitting torture Preys with the vulture's fangs upon the heart? Let those who ever felt Promethean torment, Probe"
118,1994,FIC,PlaceLearning,A,B,C,"  even trust coincidence around the man, it didn't seem a deliberate try. Vulture Shoulders seemed about to pass on swingingly. # But then, just as he"
119,1960,FIC,ConstantImage,A,B,C,"  bird. He eats everything. Dick, isn't there some culture where the vulture is a god? "" I quoted "" Une Saison en Enfer "": """
120,2003,FIC,FantasySciFi,A,B,C,"  eagle, coasted like a gull, and drifted high above, hovering like a vulture checking out the action. He was a huge yellow streak as his shadow flirted"
121,1965,FIC,PlayInFieldsLord,A,B,C,"  The street was void, a void, avoid. Dog, heat, a vulture, nothing more. A dog, a vulture, nothing more, and thus"
122,1965,FIC,PlayInFieldsLord,A,B,C,"  the world is dead, you sleepyhead. The Inn of the Dog and the Vulture. There are voices, you see, then singing voices, then strange musics"
123,1847,FIC,Arnold,A,B,C,"  the Ramparts. Clin. Clinton I had despatch'd, you know, the Vulture, sloop Of war, with Robinson on board, as high As Teller's"
124,1846,FIC,PoeticalWritings,A,B,C,"  not the less will our own griefs complain. Chained to our rock, the vulture's gory stain, And tearing beak is every moment rife, Renewing pangs that"
125,1993,FIC,HeartEarth,A,B,C,"  Wickenburg looked ashen, dumpy. The highest lump anywhere around was, gruesomely, Vulture Peak. No pelt of sagebrush to soften this country for us, either;"
126,1847,FIC,Arnold,A,B,C,"  or wrong? My friends Oppos'd, as I with heated resolution Left the Vulture, lest at the pinch for proper Urgence all had fail'd;' t"
127,1913,MAG,Outlook,A,B,C,"  tilts up ever so slightly, and the machine vaults from the ground like a vulture. Once in the air the pilot knows better than to wing his way directly"
128,1937,FIC,Play:RoomThisGinThese,A,B,C,"  : the Eighth Street car-tracks are our Caucasus and the Sixth Avenue El is our vulture! SALLY Why don't you play Lysistrata, Sophie? -- you'd be"
129,1986,FIC,Mov:Salvador,A,B,C,  willya. Ya big baby... Nobody's ever got rabies from a vulture. Turning back to Cassady who doesn't even deign to bother with Rock.
130,1844,FIC,Poems,A,B,C,"  . But there is Beauty that can never perish; A hidden path no "" vulture's eye "" Footnote: 1Kb hath found. Vainly ye seek it who in"
131,1839,FIC,DamselDarienVolume2,A,B,C,"  vengeful Indian looked down from the surrounding heights, with the eager solicitude of the vulture in waiting for his prey. The wisdom of the archbishop, at this moment"
132,1988,FIC,Play:CarnalKnowledge,A,B,C,  fuck them. Tell that to Tondelayo over there. (Looks front) This vulture I lived with a year. She's my Jap in the sack. I
133,1997,FIC,SouthernRev,A,B,C,"  wedged between her father's desk and the rosewood bookcase with carved feet like a vulture's, feet that had scared her as a child and scared her still."
134,1872,MAG,Atlantic,A,B,C,"  soul. Here am I, bound upon this pillared rock, Prey to the vulture of a vast desire That feeds upon my life. I burst my bands And"
135,1870,NF,VikramVampireClassic,A,B,C,"  parrots, teeth like pearls set in corals, ears like those of the redthroated vulture, and mouths like the water of life. What excellent forms! breasts like"
136,1977,FIC,ReturnThebes,A,B,C,"  title, "" Beloved of Akhenaten, "" I caused to be placed the sheet-gold vulture that usually bedecks the crown of a Queen: the golden wings will protect him"
137,1843,FIC,IdomenValeYumuri,A,B,C,"  speak with him a moment, and glanced towards the limpid Yumuri. A black vulture was again stalking at its margin, with the stateliness of a plumed hearse."
138,1993,FIC,UglyWays,A,B,C,"  , "" Josh chimed in. "" Mutilated monkey meat. "" "" Dirty turkey vulture feet, "" Walter sang. They all laughed uproariously. Walter thought the laughter"
139,1854,FIC,Eventide ASeries,A,B,C,"  emblems of deeds that are done in her clime, Where the rage of the vulture, the love of the turtle, Now melts into sorrow, now maddens to"
140,1847,FIC,PaulPerrilMerchants,A,B,C,"  on the bridge. CHAPTER III. The Barrack Yard. The hungry pack of vulture like dogs having swept past me, howling from every throat, dashed towards six"
141,1856,FIC,EutawASequelThe,A,B,C,"  Peerage and Baronetage. CHAPTER XXXVI. THE TIGER RAGES IN THE SHEEP-COTE -- THE VULTURE CARRIES OFF THE DOVE. It was a warm night, but not oppressively so"
142,1819,FIC,BattleNiagara,A,B,C,"  cloud! with spear Couched for the coming white man -- o'er his brow The vulture's plumage -- or the ragged mane Of some young lion, that on earth"
